Task_ID,Priority,Project_ID,Project_code,Category,Total_developers,TaskPerformance,DeveloperPerformance,Hours_estimate,Hours_logged,Difference,Estimate_Effort
2620,5,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2626,2,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2641,3,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2655,1,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2726,4,9,PC9,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2745,8,9,PC9,Enhancement,1,5.25,5.25,7,1.75,5.25,1.853448276
2765,2,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2792,1,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2798,2,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2806,1,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2961,2,9,PC9,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
2968,3,9,PC9,Enhancement,1,5.25,5.25,7,1.75,5.25,1.853448276
3057,1,9,PC9,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
3152,4,2,PC2,Enhancement,1,5.25,5.25,7,1.75,5.25,1.853448276
3237,2,2,PC2,Enhancement,1,5.25,5.25,7,1.75,5.25,1.853448276
3297,2,17,PC17,Bug,1,-5.25,-5.25,3.5,8.75,5.25,1.400862069
3356,3,2,PC2,Bug,1,5.25,5.25,7,1.75,5.25,1.853448276
5340,1,2,PC2,Release,1,-5.25,NA,2,7.25,5.25,1.206896552
5340,1,2,PC2,Release,1,-5.25,-3.25,2,7.25,5.25,1.206896552
5549,1,2,PC2,Enhancement,1,-5.25,-5.25,2,7.25,5.25,1.206896552
8865,1,9,PC9,Bug,1,5.25,NA,7,1.75,5.25,1.853448276
8865,1,9,PC9,Bug,1,5.25,NA,7,1.75,5.25,1.853448276
